,Precentral_L,Precentral_R,Frontal_Sup_L,Frontal_Sup_R,Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,Frontal_Mid_L,Frontal_Mid_R,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_L,Frontal_Inf_Orb_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,Insula_L,Insula_R,Cingulum_Ant_L,Cingulum_Ant_R,Cingulum_Mid_L,Cingulum_Mid_R,Cingulum_Post_L,Cingulum_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R,Cerebellum_Crus1_L,Cerebellum_Crus1_R,Cerebellum_Crus2_L,Cerebellum_Crus2_R,Cerebellum_3_L,Cerebellum_3_R,Cerebellum_4_5_L,Cerebellum_4_5_R,Cerebellum_6_L,Cerebellum_6_R,Cerebellum_7b_L,Cerebellum_7b_R,Cerebellum_8_L,Cerebellum_8_R,Cerebellum_9_L,Cerebellum_9_R,Cerebellum_10_L,Cerebellum_10_R,Vermis_1_2,Vermis_3,Vermis_4_5,Vermis_6,Vermis_7,Vermis_8,Vermis_9,Vermis_10
Precentral_L,0,0.51074431,0.19019435,-0.59566661,0.30207621,-0.26143565,0.64551799,0.00558213,0.30488404,-0.28116324,0.62168879,0.47900152,0.18290907,-0.13527437,-0.05178238,-0.63120344,0.06577911,0.18058109,0.78506714,0.53542892,0.13716823,0.09717711,-0.13310813,-0.58756573,-0.08179287,-0.03569001,-0.01003711,0.02754379,0.48064956,0.24036928,0.06228386,-0.29109022,0.01283709,-0.02608441,-0.44922531,-0.58023828,0.05096299,-0.03197704,0.13489601,-0.04975461,0.01724839,0.01919381,-0.10315753,-0.00335233,-0.44235265,-0.28992153,-0.22525469,-0.28394863,0.2160562,0.15320813,-0.03854477,-0.09735572,0.35058838,0.33281181,-0.36861666,-0.16989314,0.46163049,0.19958847,0.64108972,0.41666809,0.80730813,0.20352365,0.24164519,0.06235489,-0.35393366,-0.42833195,-0.07661788,-0.33091212,0.14646003,-0.07964805,0.50264696,0.56285213,0.31619159,0.40220883,0.04542651,0.31935293,0.15092937,0.29610982,-0.14390804,-0.178869,0.08568049,-0.32513572,-0.38000555,-0.23069836,-0.30247707,-0.65546872,-0.30293369,-0.23804615,0.37285106,0.11387339,-0.09987297,0.22955235,-0.25245201,0.09370251,-0.3687798,-0.17846875,-0.43381235,-0.20282831,-0.40427651,0.21599504,0.27964206,0.58186945,0.17163594,0.52570571,0.05908018,-0.00763591,0.18076583,0.4167129,-0.25761976,-0.07484952,-0.500316,-0.43059167,0.34488163,-0.02742335,0.3019786,0.17303582
Precentral_R,0.51074431,0,-0.33728806,-0.54766547,0.17965352,0.2226206,0.27473657,0.48059196,0.50279908,0.20363213,0.28388439,0.41233143,-0.01656539,0.39047799,-0.39895578,-0.41477534,0.59682786,0.47670147,0.56521224,0.78578576,-0.53872002,-0.18782851,-0.56384671,-0.65623671,-0.43344166,-0.55570541,-0.42921324,-0.42594729,0.35941705,0.22057388,-0.29207242,-0.35670555,0.11226416,0.31463588,-0.69313502,-0.55030846,-0.24496824,-0.37825177,-0.27192098,-0.44629392,0.19425446,-0.19841879,-0.24772016,-0.242463,-0.43185104,-0.03253272,0.18840345,0.01596462,0.29369217,0.39214186,-0.00650825,0.04108587,0.68665169,0.66398135,-0.0705916,-0.1188344,0.52821965,0.73759331,0.47152584,0.6769742,0.58450009,0.65149257,0.25535904,0.50101165,-0.6631786,0.01878887,-0.19867835,-0.20897659,0.26835203,0.13610534,-0.18978343,0.11029216,0.05646814,0.42403949,0.0822557,0.12588209,-0.06703761,0.4027484,0.03988206,0.27053893,0.70505974,0.33854776,-0.43782502,-0.11075564,-0.44683737,-0.35039675,-0.6054693,-0.63704307,0.31180671,0.33670743,0.13919451,-0.37275804,-0.15041374,-0.52450514,-0.14789239,-0.26471455,-0.28417939,-0.51762005,0.14874824,-0.18685786,0.52794807,0.07684248,0.37318765,0.34652539,-0.39864709,-0.31626267,0.0550565,0.33083279,-0.18216544,-0.19764291,-0.35202293,0.00460481,0.29873881,0.10759631,0.36920544,-0.12456054
Frontal_Sup_L,0.19019435,-0.33728806,0,0.3160538,0.22643851,-0.69611472,0.43342066,-0.59524559,-0.32255943,-0.47415035,-0.02191839,-0.14155512,0.04304179,-0.6045685,0.38326026,-0.10189672,-0.53618311,-0.00846141,0.04298619,-0.39529706,0.31754045,0.06113711,0.74296937,0.38585255,0.63887974,0.42680664,0.62192248,0.52830476,-0.25250161,-0.17719801,0.5821697,0.38488392,-0.29398871,-0.319451,0.41711105,0.14445876,0.49771741,0.59707828,0.46431884,0.41379428,0.12631726,0.34631321,0.21667957,0.14648417,-0.12902244,-0.62442215,-0.22195141,-0.04269812,-0.31180409,-0.51404098,-0.0592182,-0.37758712,-0.24873715,0.05887239,-0.17300247,0.28479275,0.36740354,-0.00064927,-0.0493963,-0.29668629,-0.07417931,-0.76685086,-0.44319695,-0.67253758,0.24569707,-0.769357,-0.01273966,-0.34752453,0.03714176,-0.10950775,0.56240175,0.46580033,0.53259338,0.31103139,0.13471288,0.37714029,0.27567365,0.03623581,0.07315427,0.11839358,-0.17122395,-0.25978609,0.03128428,0.16976039,0.08400508,-0.60494084,0.40665198,0.37718439,-0.34176877,-0.55495966,-0.09989933,0.56937359,0.01498054,0.7752826,-0.49678861,-0.33161953,-0.39972395,0.15402228,-0.71961077,0.38893921,-0.38944434,0.46129018,-0.2571426,0.13376798,0.00075426,0.16154356,-0.11017664,-0.20163256,0.18528019,0.15263853,0.00240598,-0.04836156,-0.09306981,0.37364153,0.05743105,0.34637021
Frontal_Sup_R,-0.59566661,-0.54766547,0.3160538,0,-0.04777305,-0.38354514,-0.34572679,-0.1838042,-0.46016372,-0.14257972,-0.59211153,-0.28987604,-0.13948393,0.00788758,-0.02512742,0.47906232,-0.45563583,-0.10883675,-0.70936097,-0.70365968,0.01886031,-0.08297861,0.39844592,0.68598501,0.53954259,0.36252727,0.39735437,0.3422576,-0.7547712,-0.38231268,-0.11973693,0.26149937,-0.39321855,-0.33532317,0.59378198,0.52477058,0.45624948,0.45743356,0.30821193,0.34927968,0.05850969,0.24870572,0.35931956,0.15215277,0.21397548,-0.10138162,0.12505964,0.27563776,-0.30828631,-0.33805124,0.23721342,0.09450534,-0.4935124,-0.36878369,0.25411139,0.30943618,-0.06568595,-0.21273665,-0.33422693,-0.30912483,-0.44453444,-0.52925791,-0.61321174,-0.46835656,0.30462388,0.20428347,0.08529716,0.18694581,-0.0013369,0.08292895,-0.20839435,-0.31359849,-0.11751373,-0.23599125,0.01990952,0.00347295,-0.10709335,-0.5691477,-0.05681565,0.1892236,-0.22998834,-0.04981264,0.06173027,0.01412208,0.12438927,0.17856287,0.41550211,0.21126725,-0.51773985,-0.08191079,0.18252134,0.07710492,0.36726631,0.28580856,0.10851721,0.08956292,0.24713173,0.31505054,-0.0325453,-0.00615945,-0.40170593,-0.32239165,-0.48888376,-0.41028054,-0.02387959,-0.09161066,-0.19408406,-0.33233231,0.47339531,0.19718475,0.4876366,0.379416,-0.26903424,0.37048144,-0.11920509,-0.11540144
Frontal_Sup_Orb_L,0.30207621,0.17965352,0.22643851,-0.04777305,0,-0.15448347,0.32406812,-0.17177456,0.05634277,-0.06698692,0.35487348,0.58785151,0.4732164,-0.1101621,0.15557136,0.05950111,-0.30255294,-0.31565633,0.07977951,-0.10904731,-0.07778773,0.33511742,0.2198395,0.03045941,0.3839081,0.21884811,0.42514342,0.30125831,-0.3899921,-0.43485435,-0.32321465,-0.34859441,-0.69835084,-0.66970018,0.04182778,-0.25771501,0.45258997,0.16275685,0.10818315,-0.09438586,-0.11654076,-0.01300179,0.12241237,0.15400728,-0.10155773,-0.27225979,-0.04070106,-0.00373026,-0.23541803,-0.07607964,-0.01645687,-0.26709953,-0.13860201,0.38384882,-0.41713177,-0.00291163,0.12229388,0.03367104,-0.12640982,-0.22504865,0.1747733,-0.07970552,-0.54342799,-0.58072995,0.14484384,0.01320943,-0.58224146,-0.54414026,-0.13266891,-0.5311183,0.10809902,0.30614488,0.16412667,0.19477302,0.09299688,0.2722004,0.13247018,0.09998844,-0.23758273,-0.22634599,-0.02851351,-0.48227365,-0.07709892,0.0078339,0.20631895,-0.28101952,0.07541737,-0.04303378,0.05119158,0.03210102,0.21438001,0.49433082,0.32733391,0.37531746,-0.42000418,-0.13113599,-0.15689654,-0.17116452,-0.25015784,0.16092861,-0.28114639,0.05885343,-0.29710253,0.00389128,0.0188141,-0.0973804,0.59377287,0.36273365,-0.00675481,-0.04254405,-0.12215877,-0.1310018,0.45262357,0.43410013,0.67081309,0.31262474
Frontal_Sup_Orb_R,-0.26143565,0.2226206,-0.69611472,-0.38354514,-0.15448347,0,-0.1618989,0.5023632,0.39970346,0.61185483,0.04443837,-0.00095219,-0.11885987,0.31011542,-0.20709404,0.02603361,0.4460568,-9.62E-05,0.01933531,0.36113685,-0.37069281,-0.03549912,-0.54193231,-0.35277478,-0.65414775,-0.39263586,-0.61309442,-0.45464716,0.34801457,0.21946057,-0.20578832,-0.17281941,0.22982638,0.3416485,-0.43604402,-0.16460356,-0.5001393,-0.44227722,-0.45693222,-0.40590657,-0.06302323,-0.31014846,-0.35703771,-0.26477321,0.04628224,0.37894486,0.15593202,0.09728384,0.13445703,0.30334154,-0.14168581,0.11903945,0.40131003,0.2341332,0.17296705,-0.25593174,-0.29591584,0.11610176,-0.1106323,0.08024187,-0.04665601,0.60791445,0.2944119,0.5026654,-0.18369621,0.44436191,-0.11011587,0.13353891,-0.04936914,0.01770579,-0.3631836,-0.27201869,-0.29256166,-0.0473349,-0.30065112,-0.37087207,-0.17651797,0.27579775,0.007434,0.12598159,0.13236354,0.29112634,-0.08505293,-0.09386222,-0.03763908,0.38336463,-0.54827183,-0.2644265,0.37714818,0.28648848,0.18486777,-0.38438506,0.14157216,-0.48772074,0.39662553,0.01482009,0.25729552,-0.13559522,0.55013017,-0.27893495,0.25166393,-0.34389109,0.32479899,-0.03331895,-0.27512623,-0.03132441,-0.12011276,0.04496062,-0.3063936,-0.26345857,-0.12529286,0.18319096,0.27374974,-0.15552634,-0.24546014,0.01599869
Frontal_Mid_L,0.64551799,0.27473657,0.43342066,-0.34572679,0.32406812,-0.1618989,0,0.21428807,0.58407454,-0.00209794,0.47605691,0.36058737,0.04326893,-0.09710355,0.02390068,-0.52355872,-0.09406246,0.04825569,0.58787409,0.29908743,-0.14041107,-0.16808169,0.01364922,-0.42614294,-0.25641219,-0.22965051,-0.16905171,-0.21213766,0.29842925,0.00466405,0.41070337,0.04997429,-0.1279464,0.1653558,-0.53439965,-0.69750539,-0.0709558,-0.1238084,-0.0559843,-0.23848012,-0.24524217,-0.25021634,-0.44603611,-0.38105919,-0.73892648,-0.45770488,-0.45661022,-0.45698349,-0.11759406,-0.17352651,-0.38124834,-0.31686984,0.35164401,0.41785828,-0.37979748,-0.28243655,0.35386544,0.1895484,0.28850011,0.06204298,0.60353641,0.1327754,0.1197066,-0.05467442,-0.30097843,-0.53105099,-0.13362934,-0.34160749,-0.27854017,-0.40449066,0.68852744,0.78691803,0.29459989,0.30584585,-0.08509538,0.00893388,0.0020783,0.18424821,-0.2264172,0.26309735,0.18955786,-0.1433903,-0.27890629,-0.30521882,-0.2327698,-0.65160846,-0.2718917,-0.26850041,0.34280721,-0.02143477,0.01267778,0.35547229,-0.0233381,0.35441696,-0.53036355,-0.59911316,-0.53196969,-0.32539644,-0.43589192,0.20891947,0.32066698,0.74644809,0.1806838,0.5565888,0.01113422,-0.02259612,0.02665247,0.15562143,-0.21923336,-0.11153355,-0.64105204,-0.34725257,0.22801737,0.00408152,0.18229099,0.45722342
Frontal_Mid_R,0.00558213,0.48059196,-0.59524559,-0.1838042,-0.17177456,0.5023632,0.21428807,0,0.75095183,0.64443196,-0.04733274,0.31404526,-0.3533406,0.76406789,-0.64192956,-0.18723672,0.47169955,0.19503106,0.0588606,0.40061191,-0.67872382,-0.49862066,-0.78934202,-0.56346012,-0.79650725,-0.68167346,-0.8337292,-0.89391666,0.30238469,0.10089073,-0.24213569,-0.09004454,0.15959773,0.59584684,-0.76722808,-0.5009492,-0.50758601,-0.60692707,-0.44029695,-0.51495378,-0.22867362,-0.63959931,-0.41170889,-0.40456751,-0.36856025,0.38660389,0.14825935,-0.00823443,0.28850054,0.39386533,-0.12315729,0.30082233,0.58309754,0.24329519,0.15331941,-0.32437371,-0.02791116,0.14817726,0.22524583,0.32211269,0.38913539,0.80574007,0.33213168,0.64285362,-0.6129303,0.47780794,0.04573601,0.30760136,-0.31675744,-0.11900583,-0.1252967,0.11074767,-0.50301749,-0.21149923,-0.28676874,-0.4239336,-0.45023914,-0.19994287,-0.08394143,0.40864232,0.52587296,0.32639445,-0.38758055,-0.46975587,-0.45645254,0.14444712,-0.6676588,-0.79332059,0.39012626,0.62151656,0.33657888,-0.56393864,0.17191176,-0.65407483,0.13460803,-0.17100272,-0.06452426,-0.39380629,0.45432496,-0.43239172,0.76697338,-0.01861577,0.43004915,0.200004,-0.16129866,-0.38684625,-0.0885204,0.19506492,-0.16832582,-0.21872578,-0.32079765,0.03508095,0.17582407,-0.2182488,-0.04635674,-0.09982212
Frontal_Mid_Orb_L,0.30488404,0.50279908,-0.32255943,-0.46016372,0.05634277,0.39970346,0.58407454,0.75095183,0,0.35458142,0.15946278,0.36846217,-0.31533159,0.37014333,-0.47304619,-0.49990723,0.45458731,0.12156752,0.40368387,0.56922917,-0.46159763,-0.42536117,-0.67409547,-0.71687993,-0.7348073,-0.52176857,-0.76241093,-0.69156058,0.51069034,0.07500222,-0.03744032,-0.21836222,0.20170231,0.55758484,-0.8775132,-0.62443733,-0.47998972,-0.56428414,-0.40469676,-0.5240288,-0.34958245,-0.63284951,-0.55024514,-0.39223549,-0.54136566,0.23605737,-0.19681134,-0.26972843,0.24883301,0.40278828,-0.17508521,0.16773743,0.56905156,0.33154342,-0.07865768,-0.3549456,0.08778843,0.14141765,0.41668318,0.27317734,0.56735115,0.67750816,0.40741806,0.53022096,-0.63280095,0.06567301,0.07404253,0.18027028,-0.32390442,-0.23912245,0.11193851,0.33207997,-0.0459857,0.09844138,0.03332736,-0.26965884,-0.32926425,0.08788317,-0.08255997,0.31142357,0.45377557,0.21380048,-0.39779024,-0.48254969,-0.48322933,-0.14464065,-0.57543411,-0.63527738,0.38941981,0.41261565,-0.06377859,-0.33375913,-0.13549459,-0.41971574,-0.09304135,-0.2659312,-0.27301183,-0.42414556,0.19341542,-0.12663707,0.72661711,0.37839322,0.47083433,0.5362317,0.04635364,-0.11377876,0.06641289,0.38300419,-0.2321976,-0.09692782,-0.47117095,-0.26446141,0.2299019,-0.30034078,0.06953653,0.05038608
Frontal_Mid_Orb_R,-0.28116324,0.20363213,-0.47415035,-0.14257972,-0.06698692,0.61185483,-0.00209794,0.64443196,0.35458142,0,0.05810264,0.01171746,0.07967243,0.5220639,-0.1305895,0.41268818,0.23352746,-0.05264074,-0.08955382,0.13386191,-0.69711909,-0.40444689,-0.29336461,-0.03130914,-0.59786753,-0.6827935,-0.52788165,-0.623559,-0.01267862,0.04403102,-0.04569247,0.31254971,-0.14994872,0.2826657,-0.29386459,-0.25562307,-0.56021602,-0.61327554,-0.66388629,-0.59153958,-0.2127951,-0.58013701,-0.44184651,-0.39132659,-0.134326,0.14694816,0.06916907,0.00661725,-0.23448526,-0.06562622,-0.49469495,-0.21662374,0.17222704,0.30976476,-0.16644812,-0.43584214,-0.09702075,0.09888195,-0.43158504,-0.04038752,-0.19794638,0.47797897,0.08341319,0.26680288,0.00372346,0.49683101,-0.4551137,-0.1486466,-0.23943808,-0.26836837,-0.19316221,0.00448616,-0.58044199,-0.24116567,-0.41711221,-0.40912242,-0.41399508,-0.07231112,0.11219087,0.44426655,0.50742181,0.40805245,0.19080347,0.1142107,0.20042703,0.42359781,-0.32811681,-0.27941298,0.14067162,0.0832811,0.55398063,-0.13541785,0.49986606,-0.35655925,0.15867652,-0.26392811,-0.14090126,-0.52169941,0.49104491,-0.29978738,0.42699978,-0.13661152,0.44108428,-0.12813371,-0.31522891,-0.44270928,0.0103305,-0.06801844,-0.09036851,-0.45270775,-0.40546304,0.29576683,0.13718278,-0.12990684,-0.01174478,-0.09309117
